,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
140,Brownie Batter Pancakes,breakfast,6,5.5,2.5,32,172,,241.5,6.5,4.5,10,15,25 mins,2.34
141,Cranberry Pistachio Biscotti,Breakfast,1,1.5,2.1,10.3,65.2,10,24.4,0.3,5,15,30,45 mins,4.80
142,Vanilla Bean Sugar,Dessert,,,,,,,,,,10,,10 mins,
143,Rudolph the Red Velvet Cupcake,Dessert,1,2.5,2.8,29.6,151,1.6,190.5,0.8,20.4,30,25,1 hr,3
144,Gingerbread Cookies,Dessert,2,1.9,1.7,29.8,133,11.6,61.8,0.2,15.3,20,10,2 hrs 30 mins,4.70
145,S’mores Pops,Dessert,1,0.7,2.4,15.9,84.3,,61.5,0.8,11,35,,35 mins,
146,Homemade Vanilla Bean Marshmallows,Dessert,2,0.4,,13,52,,13,,13,35,5,40 mins,4
147,Vanilla Snowman Cupcakes with Vanilla Icing,dessert,1,2.1,2.7,27.3,143.5,,143.2,,19.6,30,25,1 hr,5
148,Skinny No-Bake Chocolate Peanut Butter Cookies,breakfast,2,3.1,2.3,18.8,105.9,0.1,12.2,2.3,7.9,25,2,30 mins,3
149,Pumpkin Hazelnut Custard (Clafoutis),dessert,1,5,4,24,149,56.5,71.5,1,18,10,30,40 mins,4.50
150,Frozen Chocolate Banana Ghost Pops,dessert,1,1.5,5,14.5,103,1.5,14,1,11.5,,20,2 hrs 20 mins,5
151,Chocolate Mummy Cupcakes,Dessert,1,1,3.7,32,165,0.1,301,1.5,23.5,45,25,1 hr 10 mins,2
152,Super Moist Low Fat Chocolate Cupcakes with Chocolate Glaze,Dessert,1,1,2.5,20,104.5,,288.5,1.5,12.5,,,1 hr,4.63
153,Pumpkin Ice Cream,breakfast,1,4,1,31,153,5.5,165,0.5,29,15,15,1 hr 30 mins,5
154,Meringue Ghosts,Dessert,1,0.4,0.3,6.1,27.5,,6.4,0.1,5.9,30,30,2 hrs,
155,Pumpkin Spice Cookies,Dessert,2,1.4,5,34.7,171.4,5,113,1.5,25.4,35,10,45 mins,4.50
156,Pumpkin Swirl Cheesecake Yogurt Cupcakes,Dessert,1,4,5,16,117,2,24,0.5,12.5,25,25,50 mins,5
157,Pumpkin Cupcakes with Pumpkin Cream Cheese Frosting,Dessert,1,1.5,3,23,121,,142.5,0.5,14,20,20,55 mins,4.30
158,Pineapple Zucchini Cupcakes with Cream Cheese Frosting,Dessert,1,3,6.5,31.1,197.8,20.5,284.2,1.7,21.7,35,23,1 hr,5
159,Chocolate Sorbet,dinner,1,1.7,1.2,24.7,97.7,,1.7,2.9,20.2,,,,4.67
160,Piña Colada Sorbet,dinner,1,,1.5,20,91,,0.5,0.5,18.5,30,0,1 hr 30 mins,5
161,Skinny Strawberry Fool,dessert,3,5.9,7.2,35.1,222.8,,52,2.1,,,,,
162,Pink Lemonade Confetti Cupcakes,Dessert,1,1,2.5,17.5,97.5,,103.5,,10,15,25,40 mins,5
163,Cherry Sorbet,Dessert,1,1,0.5,37,136,,5,2.5,31,,,,3
